name,PF,PD_5,PD_6,PD_7,PD_8,PD_9,PD_10
19578,0.422603792,0.612764776,0.585700256,0.608449437,0.685897577,0.656477918,0.709631262
19579,0.364685476,0.657765571,0.718788976,0.735751824,0.684297279,0.637302048,0.577498857
19581,0.311326717,0.402502692,0.404016378,0.393448312,0.440163237,0.500691555,0.516105714
19582,0.19153846,0.375367334,0.340784317,0.379232038,0.572559371,0.721061798,0.810077681
19585,0.28567091,0.723003562,0.634838124,0.717006326,0.803600694,0.876584898,0.7124318
19586,0.226809969,0.608388281,0.586595135,0.586354331,0.719262584,0.865579137,0.277098678
19590,0.298955035,0.68945929,0.632712797,0.699216846,0.750626585,0.828437083,0.597058777
19591,0.293924795,0.722143144,0.716768315,0.717468213,0.733295768,0.931659034,0.537111299
19592,0.322174606,0.671507551,0.682466777,0.68168178,0.803280766,0.9297968,0.563886215
19593,0.26166885,0.638799713,0.598284406,0.632084604,0.750447404,0.947003979,0.603368475
19601,0.247570578,0.689575442,0.639813634,0.722219112,0.808226802,0.911592375,0.5912066
19602,0.281983471,0.70515698,0.600318906,0.734771994,0.803225578,0.949071152,0.655141016
19603,0.245932941,0.594639002,0.525114666,0.541817521,0.639561348,0.816828971,0.58900151
19604,0.162085804,0.649940325,0.538369291,0.627047807,0.717056508,0.901971901,0.359581836
19605,0.237213742,0.688607116,0.632078175,0.665624961,0.785463835,0.841903721,0.46948974
19633,0.402894209,0.842821194,0.839401457,0.875948258,0.719034343,0.624288396,0.637930955
19634,0.374897232,0.827030897,0.806299288,0.823436593,0.73403128,0.689936793,0.548592909
19635,0.36704713,0.808580754,0.858338886,0.805487921,0.785460218,0.742855136,0.624871864
19637,0.393844838,0.756980741,0.823248736,0.805002027,0.7240294,0.559527431,0.603787047
19638,0.30152551,0.409461689,0.384570888,0.369379834,0.386932108,0.34051138,0.340697584
19639,0.284940462,0.326729488,0.302753008,0.301317705,0.277974354,0.302273313,0.426419906
19640,0.198532407,0.605403656,0.561666676,0.59820293,0.716026632,0.946969761,0.368075934
19641,0.208983745,0.621828862,0.518076614,0.599714001,0.699168576,0.913013668,0.185162586
19642,0.191583047,0.656381639,0.603941936,0.604293928,0.735502303,0.811248579,0.324226894
19643,0.213014833,0.671168144,0.598791962,0.614686446,0.733193966,0.864896289,0.389997625
19644,0.247373703,0.58913669,0.527992462,0.549022795,0.716614379,0.91166818,0.627359319
19645,0.333858833,0.672121473,0.602480686,0.618794855,0.768136207,0.859454496,0.554317048
19646,0.26749732,0.391458807,0.37439599,0.426598838,0.361630119,0.302183018,0.396752188
19647,0.270061424,0.314271792,0.354046544,0.334478579,0.329058954,0.351565885,0.354485945
19648,0.246351593,0.345853864,0.353550262,0.339941119,0.397155789,0.35884963,0.339297964
19649,0.282276682,0.381406715,0.349458326,0.391409609,0.386153574,0.496769564,0.537285408
19650,0.214963853,0.229974717,0.229927099,0.230583378,0.272888989,0.297034393,0.270885279
19651,0.414807574,0.740439998,0.806320737,0.807008144,0.716711653,0.738833004,0.744037999
19652,0.402721949,0.831224111,0.810591263,0.87705095,0.786573552,0.807170387,0.744036739
19653,0.402169277,0.791301963,0.807513932,0.840768983,0.767755255,0.773240234,0.681474895
19654,0.38708825,0.825158052,0.87654617,0.822549544,0.820956511,0.772293958,0.827915169
19661,0.199752204,0.387361617,0.395325149,0.373149592,0.337573695,0.291235179,0.335129507
19662,0.209625807,0.425816842,0.458712052,0.43223413,0.507289149,0.304732805,0.310790948
19663,0.200051591,0.287403334,0.468445221,0.32913216,0.307064417,0.369154095,0.378656814
